IBGE;MUNICIPIO;LATITUDE_MUNICIPIO;LONGITUDE_MUNICIPIO;SIGLA_UF;COORDENADORIA REGIONAL DE SAUDE;REGIAO SAUDE;CODIGO MACRORREGIAO SAUDE;MACRORREGIAO SAUDE;CODIGO REGIAO COVID;REGIAO COVID;CNES ESTABELECIMENTO SAUDE;NOME FANTASIA ESTABELECIMENTO SAUDE;LATITUDE_ESTABELECIMENTO;LONGITUDE_ESTABELECIMENTO;DATA INCLUSAO REGISTRO;NUMERO LEITOS UTI ADULTO (SUS  PRIVADO);NUMERO LEITOS CLINICOS ADULTO  (SUS  PRIVADO);NUMERO LEITOS UTI PEDRIATRICO  (SUS  PRIVADO);NUMERO DE RESPIRADORES;NUMERO SUSPEITOS COVID-SRAG EM LEITO UTI ADULTO  (SUS  PRIVADO);NUMERO CONFIRMADOS COVID EM LEITO UTI ADULTO  (SUS  PRIVADO);NUMERO SUSPEITOS COVID-SRAG EM LEITO UTI PEDIATRICO  (SUS  PRIVADO);NUMERO CONFIRMADOS COVID EM LEITO UTI PEDIATRICO  (SUS  PRIVADO);NUMERO SUSPEITOS COVID-SRAG EM LEITO CLINICO ADULTO  (SUS  PRIVADO);NUMERO CONFIRMADOS COVID EM LEITO CLINICO ADULTO  (SUS  PRIVADO);NUMERO SUSPEITOS COVID-SRAG EM LEITO CLINICO PEDIATRICO  (SUS  PRIVADO);NUMERO CONFIRMADOS COVID EM LEITO CLINICO PEDIATRICO  (SUS  PRIVADO);NUMERO PACIENTES ADULTOS SUSPEITOS E CONFIRMADOS UTILIZANDO RESPIRADORES EM UTI;NUMERO PACIENTES ADULTOS INTERNADOS EM LEITOS UTI  (SUS  PRIVADO)
430090;Aratiba;-27.394;-52.3;RS;11 CRS;Região 16 - Alto Uruguai Gaúcho;4304;Norte;13;ERECHIM - R16;2249502;ACHA ARATIBA;-27.4002458;-52.3083046;2020-06-11 10:43:20.0;0;17;0;7;0;0;0;0;0;0;0;0;0;0
430090;Aratiba;-27.394;-52.3;RS;11 CRS;Região 16 - Alto Uruguai Gaúcho;4304;Norte;13;ERECHIM - R16;2249502;ACHA ARATIBA;-27.4002458;-52.3083046;2020-06-12 09:41:14.0;0;17;0;7;0;0;0;0;0;0;0;0;0;0
430090;Aratiba;-27.394;-52.3;RS;11 CRS;Região 16 - Alto Uruguai Gaúcho;4304;Norte;13;ERECHIM - R16;2249502;ACHA ARATIBA;-27.4002458;-52.3083046;2020-06-13 07:45:29.0;0;17;0;7;0;0;0;0;0;0;0;0;0;0
430090;Aratiba;-27.394;-52.3;RS;11 CRS;Região 16 - Alto Uruguai Gaúcho;4304;Norte;13;ERECHIM - R16;2249502;ACHA ARATIBA;-27.4002458;-52.3083046;2020-06-14 08:53:37.0;0;17;0;7;0;0;0;0;0;0;0;0;0;0
430090;Aratiba;-27.394;-52.3;RS;11 CRS;Região 16 - Alto Uruguai Gaúcho;4304;Norte;13;ERECHIM - R16;2249502;ACHA ARATIBA;-27.4002458;-52.3083046;2020-06-15 08:01:24.0;0;17;0;7;0;0;0;0;0;0;0;0;0;0
430090;Aratiba;-27.394;-52.3;RS;11 CRS;Região 16 - Alto Uruguai Gaúcho;4304;Norte;13;ERECHIM - R16;2249502;ACHA ARATIBA;-27.4002458;-52.3083046;2020-06-16 11:02:23.0;0;17;0;7;0;0;0;0;0;0;0;0;0;0
430090;Aratiba;-27.394;-52.3;RS;11 CRS;Região 16 - Alto Uruguai Gaúcho;4304;Norte;13;ERECHIM - R16;2249502;ACHA ARATIBA;-27.4002458;-52.3083046;2020-06-17 07:19:51.0;0;17;0;7;0;0;0;0;0;0;0;0;0;0
430090;Aratiba;-27.394;-52.3;RS;11 CRS;Região 16 - Alto Uruguai Gaúcho;4304;Norte;13;ERECHIM - R16;2249502;ACHA ARATIBA;-27.4002458;-52.3083046;2020-06-18 07:22:05.0;0;17;0;7;0;0;0;0;0;0;0;0;0;0
430090;Aratiba;-27.394;-52.3;RS;11 CRS;Região 16 - Alto Uruguai Gaúcho;4304;Norte;13;ERECHIM - R16;2249502;ACHA ARATIBA;-27.4002458;-52.3083046;2020-06-19 07:05:40.0;0;17;0;7;0;0;0;0;0;0;0;0;0;0
430090;Aratiba;-27.394;-52.3;RS;11 CRS;Região 16 - Alto Uruguai Gaúcho;4304;Norte;13;ERECHIM - R16;2249502;ACHA ARATIBA;-27.4002458;-52.3083046;2020-06-20 08:45:50.0;0;17;0;7;0;0;0;0;0;0;0;0;0;0
